t_rel_s,chamber_set_c,chamber_actual_c,chamber_on,GR07_rate_hz,GR06_rate_hz
145.513,5.000,33.140,1,928725.486,145445.247
146.496,5.000,32.986,1,928322.446,145440.207
147.497,5.000,32.845,1,928012.919,145190.689
148.499,5.000,32.698,1,927891.574,145233.776
149.505,5.000,32.600,1,927761.420,145207.558
150.503,5.000,32.512,1,927663.156,145136.476
151.501,5.000,32.400,1,927615.415,145082.220
152.491,5.000,32.360,1,927588.102,145051.973
153.503,5.000,32.262,1,927562.283,144965.990
154.513,5.000,32.177,1,927552.911,144930.676
155.494,5.000,32.100,1,927545.131,144905.377
156.497,5.000,32.083,1,927528.457,144960.836
157.492,5.000,32.000,1,927515.269,144828.755
158.503,5.000,31.988,1,927501.492,144786.886
159.489,5.000,31.900,1,927494.291,144724.033
160.497,5.000,31.900,1,927472.000,144748.046
161.500,5.000,31.900,1,927437.942,144693.427
162.505,5.000,31.900,1,927425.533,144574.162
163.511,5.000,31.806,1,927376.417,144598.294
164.495,5.000,31.800,1,927282.201,144550.929
165.492,5.000,31.709,1,927156.551,144509.763
166.491,5.000,31.611,1,927073.848,144329.346
167.501,5.000,31.515,1,926939.044,144239.761
168.508,5.000,31.419,1,926631.099,144426.566
169.492,5.000,31.320,1,926363.493,144335.379
170.491,5.000,31.235,1,926051.347,144131.014
171.503,5.000,31.139,1,925596.939,144056.443
172.511,5.000,31.030,1,924797.318,144120.001
173.498,5.000,30.893,1,924191.927,144118.377
174.499,5.000,30.748,1,923285.856,143985.639
175.496,5.000,30.601,1,922375.152,143700.156
176.506,5.000,30.453,1,921508.016,143614.782
177.503,5.000,30.312,1,920541.398,143573.019
178.493,5.000,30.159,1,919799.318,143634.690
179.492,5.000,30.062,1,919107.606,143719.354
180.492,5.000,29.965,1,918208.516,143533.413
181.511,5.000,29.835,1,917423.032,143560.664
182.503,5.000,29.666,1,916653.167,143394.724
183.502,5.000,29.579,1,915956.179,143359.821
184.502,5.000,29.462,1,915512.994,143271.846
185.499,5.000,29.285,1,915149.352,143154.120
186.498,5.000,29.171,1,914888.291,143036.664
187.500,5.000,28.984,1,914635.407,142827.254
188.497,5.000,28.890,1,914604.999,142855.507
189.504,5.000,28.696,1,914422.854,142925.250
190.509,5.000,28.598,1,914350.823,142872.265
191.504,5.000,28.498,1,914317.825,142855.763
192.502,5.000,28.300,1,914287.274,142748.796
193.503,5.000,28.201,1,914259.911,142704.121
194.492,5.000,28.009,1,914221.259,142598.649
195.500,5.000,27.912,1,914148.427,142528.638
196.500,5.000,27.817,1,914020.390,142441.778
197.493,5.000,27.643,1,913837.212,142268.284
198.501,5.000,27.447,1,913537.811,142253.174
199.507,5.000,27.327,1,913229.136,142169.802
200.501,5.000,27.158,1,912789.745,142093.905
201.511,5.000,27.030,1,912059.096,142045.245
202.496,5.000,26.934,1,911501.783,141953.564
203.501,5.000,26.839,1,910610.394,141877.722
204.509,5.000,26.688,1,909764.702,141835.958
205.493,5.000,26.548,1,908506.548,141768.930
206.497,5.000,26.450,1,907676.671,141675.040
207.495,5.000,26.311,1,906755.208,141582.940
208.506,5.000,26.096,1,905693.415,141473.811
209.503,5.000,25.964,1,904557.385,141379.032
210.507,5.000,25.832,1,903921.530,141314.461
211.499,5.000,25.666,1,903267.631,141203.067
212.497,5.000,25.568,1,902805.752,141058.126
213.504,5.000,25.440,1,902335.590,140885.648
214.501,5.000,25.271,1,902045.077,141015.607
215.500,5.000,25.173,1,901851.947,140959.186
216.502,5.000,25.076,1,901663.873,140675.474
217.498,5.000,24.881,1,901560.828,140541.320
218.495,5.000,24.795,1,901497.687,140511.996
219.499,5.000,24.697,1,901445.111,140438.743
220.494,5.000,24.600,1,901410.119,140507.992
221.491,5.000,24.489,1,901373.198,140261.896
222.499,5.000,24.292,1,901372.931,140215.347
223.494,5.000,24.100,1,901350.887,140136.237
224.501,5.000,24.011,1,901300.929,140030.473
225.496,5.000,23.913,1,901182.501,139978.984
226.493,5.000,23.817,1,900945.673,140022.168
227.496,5.000,23.720,1,900693.551,139958.301
228.497,5.000,23.543,1,900396.260,140045.049
229.497,5.000,23.423,1,899907.501,139989.484
230.505,5.000,23.326,1,899326.857,139905.503
231.512,5.000,23.157,1,898652.451,139845.350
232.502,5.000,23.033,1,897999.886,139760.543
233.509,5.000,22.868,1,896917.870,139646.203
234.496,5.000,22.736,1,895755.773,139590.016
235.501,5.000,22.639,1,895023.409,139497.479
236.496,5.000,22.508,1,894169.832,139419.668
237.499,5.000,22.355,1,893194.205,139218.248
238.496,5.000,22.258,1,892272.535,139038.469
239.502,5.000,22.161,1,891576.559,138981.097
240.513,5.000,22.028,1,890920.352,139119.106
241.499,5.000,21.866,1,890292.173,139091.252
242.501,5.000,21.741,1,889861.656,139029.670
243.495,5.000,21.574,1,889574.371,138935.818
244.499,5.000,21.453,1,889289.526,138784.139
245.496,5.000,21.276,1,889161.029,138778.235
246.502,5.000,21.153,1,889062.322,138676.916
247.498,5.000,20.980,1,889028.304,138680.970
248.500,5.000,20.897,1,888983.855,138558.707
249.504,5.000,20.799,1,888940.754,138355.116
250.495,5.000,20.700,1,888910.560,138239.475
251.499,5.000,20.602,1,888876.145,138348.801
252.500,5.000,20.504,1,888840.498,138316.690
253.504,5.000,20.315,1,888713.172,138253.926
254.510,5.000,20.125,1,888628.603,138207.157
255.503,5.000,20.012,1,888438.744,138091.881
256.504,5.000,19.913,1,888229.218,138026.277
257.503,5.000,19.735,1,887918.863,137939.965
258.506,5.000,19.623,1,887638.113,137644.642
259.496,5.000,19.525,1,887016.649,137788.600
260.495,5.000,19.426,1,886447.607,137745.601
261.500,5.000,19.342,1,886018.403,137647.281
262.501,5.000,19.195,1,885368.766,137368.977
263.494,5.000,19.050,1,884715.092,137355.475
264.507,5.000,18.951,1,884257.904,137479.964
265.500,5.000,18.805,1,882708.008,137114.666
266.499,5.000,18.655,1,881743.873,137219.476
267.510,5.000,18.558,1,881027.753,137245.485
268.495,5.000,18.459,1,880392.558,137168.545
269.507,5.000,18.323,1,879673.775,137123.801
270.497,5.000,18.165,1,879088.128,137074.101
271.498,5.000,18.069,1,878461.088,136993.366
272.499,5.000,17.971,1,878132.024,136951.912
273.498,5.000,17.872,1,877856.416,136926.362
274.502,5.000,17.774,1,877606.877,136926.389
275.513,5.000,17.678,1,877281.778,136843.157
276.513,5.000,17.581,1,877099.650,136729.870
277.506,5.000,17.468,1,876987.292,136560.792
278.497,5.000,17.286,1,876896.978,136372.544
279.500,5.000,17.192,1,876816.492,136290.624
280.495,5.000,17.098,1,876796.734,136229.294
281.495,5.000,17.000,1,876751.719,136166.552
282.493,5.000,16.900,1,876719.888,136131.284
283.494,5.000,16.805,1,876709.454,136160.728
284.498,5.000,16.613,1,876676.805,136271.272
285.500,5.000,16.600,1,876620.620,136222.485
286.500,5.000,16.425,1,876548.818,136158.659
287.502,5.000,16.313,1,876471.271,136104.904
288.499,5.000,16.215,1,876354.868,136018.664
289.491,5.000,16.131,1,876111.156,135958.598
290.498,5.000,15.945,1,875794.773,135915.222
291.500,5.000,15.824,1,875559.103,135823.205
292.497,5.000,15.726,1,875240.696,135780.401
293.498,5.000,15.629,1,874764.998,135735.776
294.497,5.000,15.534,1,874428.018,135722.644
295.507,5.000,15.435,1,874131.304,135667.430
296.479,5.000,15.342,1,873302.276,135607.300
297.495,5.000,15.247,1,872426.095,135484.342
298.507,5.000,15.098,1,871769.466,135378.470
299.519,5.000,14.952,1,870948.909,135090.055
300.496,5.000,14.855,1,870342.092,135074.992
301.497,5.000,14.759,1,869665.838,135010.086
302.498,5.000,14.662,1,868810.265,134831.976
303.510,5.000,14.531,1,868556.083,134915.990
304.502,5.000,14.380,1,868158.963,134841.035
305.499,5.000,14.279,1,867774.764,134794.543
306.506,5.000,14.184,1,867148.760,134749.381
307.500,5.000,14.087,1,866501.302,134669.327
308.511,5.000,13.989,1,866204.212,134599.756
309.498,5.000,13.891,1,865876.942,134584.462
310.501,5.000,13.792,1,865519.350,134538.625
311.496,5.000,13.691,1,865303.801,134427.909
312.498,5.000,13.500,1,865200.039,134327.515
313.498,5.000,13.400,1,865085.281,134328.603
314.502,5.000,13.302,1,865019.636,134291.034
315.492,5.000,13.201,1,864957.341,134493.636
316.503,5.000,13.106,1,864913.760,134391.140
317.507,5.000,13.010,1,864891.899,134418.831
318.506,5.000,12.914,1,864873.960,134341.935
319.505,5.000,12.816,1,864823.863,134127.959
320.500,5.000,12.729,1,864780.045,133896.298
321.493,5.000,12.632,1,864766.240,133864.593
322.496,5.000,12.523,1,864686.046,133815.146
323.493,5.000,12.438,1,864582.102,133861.211
324.507,5.000,12.279,1,864439.684,133961.188
325.509,5.000,12.140,1,864261.321,133880.684
326.506,5.000,12.042,1,864126.234,133795.279
327.492,5.000,11.945,1,863849.059,133735.966
328.492,5.000,11.848,1,863712.967,133713.830
329.493,5.000,11.765,1,863475.333,133614.081
330.499,5.000,11.668,1,862873.712,133519.211
331.494,5.000,11.570,1,862346.970,133480.414
332.497,5.000,11.471,1,861938.735,133476.299
333.496,5.000,11.372,1,861364.389,133388.129
334.497,5.000,11.275,1,860855.750,133089.235
335.504,5.000,11.178,1,859888.794,133054.942
336.493,5.000,11.062,1,859452.761,132957.011
337.494,5.000,10.900,1,858756.843,132960.892
338.503,5.000,10.868,1,858231.974,132925.770
339.502,5.000,10.700,1,857951.140,132860.227
340.500,5.000,10.691,1,857337.963,132779.666
341.500,5.000,10.594,1,856751.172,132820.101
342.496,5.000,10.498,1,855960.396,132752.105
343.502,5.000,10.400,1,855543.942,132720.075
344.508,5.000,10.301,1,855253.830,132652.536
345.490,5.000,10.207,1,854872.580,132848.622
346.501,5.000,10.111,1,854510.266,132792.382
347.511,5.000,10.013,1,854278.645,132746.433
348.504,5.000,9.919,1,854209.498,132686.299
349.508,5.000,9.813,1,853967.897,132606.519
350.499,5.000,9.729,1,853836.861,132579.792
351.491,5.000,9.633,1,853687.742,132617.596
352.494,5.000,9.600,1,853648.978,132443.793
353.503,5.000,9.540,1,853572.264,132430.242
354.500,5.000,9.443,1,853492.604,132370.103
355.503,5.000,9.345,1,853438.664,132398.290
356.493,5.000,9.248,1,853393.201,132322.176
357.503,5.000,9.153,1,853356.591,132227.035
358.506,5.000,9.057,1,853351.351,132186.686
359.491,5.000,8.960,1,853328.369,132126.841
360.494,5.000,8.862,1,853310.501,132081.385
361.494,5.000,8.765,1,853291.209,132051.613
362.500,5.000,8.700,1,853262.754,132008.504
363.495,5.000,8.677,1,853231.277,131769.518
364.506,5.000,8.578,1,853180.589,131676.770
365.506,5.000,8.480,1,853105.004,131653.151
366.491,5.000,8.387,1,853029.489,131613.712
367.502,5.000,8.279,1,852972.318,131580.367
368.504,5.000,8.200,1,852857.950,131524.800
369.508,5.000,8.195,1,852773.051,131487.099
370.502,5.000,8.097,1,852763.430,131478.161
371.498,5.000,8.000,1,852525.644,131502.360
372.503,5.000,8.000,1,852427.724,131454.370
373.508,5.000,7.903,1,852165.748,131417.017
374.487,5.000,7.807,1,851889.488,131309.936
375.495,5.000,7.800,1,851660.210,131332.207
376.496,5.000,7.703,1,851505.619,131299.767
377.506,5.000,7.613,1,851300.805,131276.976
378.503,5.000,7.514,1,851064.004,131251.231
379.497,5.000,7.500,1,850946.540,131229.231
380.491,5.000,7.421,1,850538.918,131170.642
381.504,5.000,7.326,1,850503.359,131182.242
382.497,5.000,7.300,1,850152.237,131153.387
383.499,5.000,7.231,1,849955.581,131010.149
384.488,5.000,7.200,1,849441.405,131058.633
385.499,5.000,7.139,1,849351.551,131065.662
386.503,5.000,7.041,1,848680.852,131070.176
387.501,5.000,7.000,1,848294.095,130982.507
388.496,5.000,6.959,1,848297.794,131014.106
389.505,5.000,6.851,1,848123.611,130933.061
390.509,5.000,6.755,1,848147.200,130959.896
391.505,5.000,6.700,1,848463.295,130909.565
392.500,5.000,6.660,1,848272.642,130918.163
393.503,5.000,6.600,1,848003.421,130916.910
394.505,5.000,6.600,1,847210.411,130822.518
395.500,5.000,6.580,1,846772.347,130881.434
396.506,5.000,6.500,1,846535.560,130882.800
397.506,5.000,6.482,1,846272.035,130866.341
398.503,5.000,6.400,1,846037.029,130829.239
399.506,5.000,6.391,1,846021.743,130752.141
400.499,5.000,6.300,1,845765.779,130783.726
401.502,5.000,6.300,1,845754.274,130784.108
402.503,5.000,6.300,1,845863.019,130708.776
403.503,5.000,6.202,1,845597.277,130730.003
404.500,5.000,6.200,1,845441.431,130745.479
405.495,5.000,6.103,1,845203.207,130697.482
406.502,5.000,6.100,1,845138.168,130945.286
407.504,5.000,6.100,1,844975.617,130943.982
408.508,5.000,6.020,1,844981.044,130949.404
409.495,5.000,6.000,1,844972.124,130927.254
410.496,5.000,6.000,1,844863.366,130881.196
411.497,5.000,5.937,1,844822.858,130888.535
412.509,5.000,5.900,1,844589.223,130905.500
413.503,5.000,5.841,1,844587.700,130649.060
414.498,5.000,5.800,1,844743.876,130575.774
415.500,5.000,5.800,1,844670.188,130623.072
416.503,5.000,5.800,1,844665.919,130644.165
417.507,5.000,5.800,1,844519.610,130667.886
418.502,5.000,5.751,1,844438.463,130584.490
419.502,5.000,5.700,1,844229.075,130577.508
420.502,5.000,5.700,1,843979.154,130607.879
421.498,5.000,5.668,1,844152.734,130644.267
422.501,5.000,5.600,1,844050.918,130578.553
423.502,5.000,5.600,1,844334.251,130601.519
424.499,5.000,5.572,1,843949.272,130537.579
425.498,5.000,5.500,1,843864.801,130573.838
426.506,5.000,5.500,1,843968.602,130607.642
427.501,5.000,5.500,1,843885.949,130590.030
428.494,5.000,5.500,1,843916.792,130579.736
429.501,5.000,5.485,1,843719.680,130583.386
430.501,5.000,5.400,1,843580.133,130539.323
431.501,5.000,5.400,1,843587.577,130506.707
432.501,5.000,5.394,1,843695.661,130579.821
433.494,5.000,5.300,1,843514.595,130559.370
434.494,5.000,5.300,1,843567.343,130521.245
435.506,5.000,5.300,1,843677.400,130373.285
436.498,5.000,5.300,1,843377.715,130510.903
437.501,5.000,5.217,1,843418.828,130515.925
438.496,5.000,5.200,1,843470.695,130571.598
439.496,5.000,5.200,1,843591.641,130594.443
440.499,5.000,5.200,1,843461.878,130419.808
441.500,5.000,5.200,1,843483.234,130469.831
442.499,5.000,5.126,1,843431.136,130509.637
443.503,5.000,5.100,1,843405.870,130481.757
444.505,5.000,5.029,1,843356.108,130469.079
445.501,5.000,5.000,1,843341.597,130501.325
446.505,5.000,5.000,1,843228.242,130451.570
447.498,5.000,4.941,1,843283.601,130480.680
448.488,5.000,4.900,1,843326.292,130493.146
449.498,5.000,4.900,1,843437.509,130476.186
450.509,5.000,4.900,1,843296.329,130437.682
451.502,5.000,4.900,1,843258.811,130507.775
452.501,5.000,4.900,1,843093.418,130428.401
453.504,5.000,4.865,1,843072.296,130476.562
454.507,5.000,4.800,1,842995.222,130624.819
455.497,5.000,4.800,1,842996.586,130699.310
456.501,5.000,4.774,1,843137.264,130667.498
457.509,5.000,4.700,1,842987.926,130642.055
458.512,5.000,4.700,1,842899.437,130638.570
459.494,5.000,4.700,1,843090.697,130685.116
460.497,5.000,4.700,1,843263.187,130673.918
461.498,5.000,4.700,1,843212.010,130370.836
462.503,5.000,4.700,1,843078.203,130482.002
463.495,5.000,4.700,1,843200.404,130419.632
464.496,5.000,4.790,1,843406.336,130477.295
465.497,5.000,4.800,1,843518.937,130529.602
466.496,5.000,4.800,1,843706.952,130582.857
467.511,5.000,4.800,1,844056.083,130586.985
468.508,5.000,4.886,1,844174.881,130481.557
469.501,5.000,4.900,1,844168.120,130575.200
470.495,5.000,4.900,1,844344.117,130672.967
471.492,5.000,4.900,1,844647.639,130685.804
472.491,5.000,4.969,1,844381.030,130694.255
473.501,5.000,5.000,1,844425.384,130695.161
474.502,5.000,5.000,1,844318.310,130661.886
475.503,5.000,4.941,1,844683.343,130643.127
476.510,5.000,4.900,1,844600.807,130662.434
477.495,5.000,4.900,1,845059.996,130703.718
478.497,5.000,4.900,1,844920.878,130834.532
479.500,5.000,4.900,1,845171.979,130894.319
480.507,5.000,4.900,1,845246.620,130902.529
481.501,5.000,4.942,1,845562.522,130953.679
482.502,5.000,5.000,1,845812.992,130960.073
483.506,5.000,5.000,1,845697.813,130959.610
484.499,5.000,5.000,1,846006.459,130927.753
485.494,5.000,5.000,1,846439.111,130999.173
486.495,5.000,5.000,1,846108.592,130936.895
487.493,5.000,5.000,1,846278.969,130821.186
488.492,5.000,5.000,1,846126.976,130779.619
489.496,5.000,5.000,1,846308.096,130846.895
490.499,5.000,5.000,1,846295.645,130861.669
491.501,5.000,5.000,1,846733.095,130842.783
492.489,5.000,5.000,1,846978.233,130695.608
493.492,5.000,5.000,1,847169.379,130726.790
494.506,5.000,5.000,1,847021.678,130850.011
495.499,5.000,5.000,1,847360.508,130886.823
496.499,5.000,5.000,1,847216.363,130941.135
497.505,5.000,5.000,1,847217.094,130907.783
498.503,5.000,5.000,1,847321.971,130843.299
499.507,5.000,5.000,1,847320.297,130987.898
500.502,5.000,5.000,1,847293.815,131064.742
501.501,5.000,5.000,1,847159.339,131093.919
502.489,5.000,4.934,1,846923.086,131089.514
503.502,5.000,4.900,1,847080.914,131097.244
504.503,5.000,4.900,1,847289.675,131115.337
505.506,5.000,4.900,1,847573.108,131144.178
506.502,5.000,4.900,1,847681.016,131050.775
507.498,5.000,4.900,1,847620.325,131146.214
508.509,5.000,4.900,1,847674.189,131070.802
509.521,5.000,4.900,1,847810.981,130911.773
510.506,5.000,4.941,1,847824.107,131078.533
511.495,5.000,5.000,1,847722.195,131126.609
512.501,5.000,4.966,1,847620.850,131110.356
513.499,5.000,4.900,1,847276.414,131132.087
514.496,5.000,4.900,1,847149.690,131158.292
515.499,5.000,4.900,1,847592.756,131165.196
516.498,5.000,4.900,1,847709.723,131111.709
517.510,5.000,4.900,1,847744.139,130895.663
518.502,5.000,4.900,1,847901.076,130923.666
519.503,5.000,4.900,1,848025.268,130912.172
520.491,5.000,4.900,1,848388.369,130957.643
521.497,5.000,4.900,1,847884.891,130958.794
522.506,5.000,4.900,1,848175.800,130958.356
523.498,5.000,4.900,1,848363.090,130948.505
524.492,5.000,4.900,1,848416.945,131074.525
525.507,5.000,4.900,1,848532.560,131261.260
526.514,5.000,4.984,1,848327.842,131187.089
527.502,5.000,5.000,1,848503.596,131191.983
528.499,5.000,4.920,1,848432.893,131261.364
529.493,5.000,4.900,1,848409.260,131181.042
530.500,5.000,4.900,1,848549.794,131211.295
531.498,5.000,4.900,1,848265.378,131172.970
532.502,5.000,4.900,1,848241.316,131225.465
533.499,5.000,4.900,1,848542.105,131163.083
534.502,5.000,4.900,1,848717.179,130960.760
535.509,5.000,4.900,1,849015.099,130992.838
536.497,5.000,4.900,1,848720.718,131035.458
537.494,5.000,4.900,1,849341.696,131022.927
538.497,5.000,4.900,1,849437.856,131147.679
539.498,5.000,4.938,1,849506.914,131301.572
540.497,5.000,5.000,1,849415.414,131292.857
541.497,5.000,5.000,1,849375.497,131268.835
542.497,5.000,5.000,1,849192.812,131256.554
543.505,5.000,5.000,1,849277.964,131301.297
544.510,5.000,4.979,1,849249.230,131266.952
545.500,5.000,4.900,1,849988.942,131289.271
546.494,5.000,4.900,1,849926.434,131225.149
547.492,5.000,4.900,1,850099.130,131337.353
548.495,5.000,4.900,1,850176.423,131344.224
549.501,5.000,4.900,1,850389.613,131358.184
550.499,5.000,4.901,1,850347.689,131268.073
551.498,5.000,5.000,1,850386.530,131328.942
552.501,5.000,5.000,1,850698.042,131243.387
553.511,5.000,5.000,1,850695.599,131113.278
554.498,5.000,5.000,1,850518.703,131120.585
555.501,5.000,5.000,1,849859.873,131131.822
556.492,5.000,5.000,1,849658.274,131047.503
557.499,5.000,5.000,1,849633.135,131077.720
558.498,5.000,5.000,1,849283.740,131036.399
559.498,5.000,5.000,1,849562.501,131064.644
560.494,5.000,4.932,1,849512.159,131103.780
561.506,5.000,4.900,1,849584.697,131088.741
562.509,5.000,4.900,1,849813.929,131143.116
563.502,5.000,4.900,1,849918.200,131123.441
564.500,5.000,4.955,1,850005.855,131103.904
565.500,5.000,5.000,1,849872.744,131351.349
566.494,5.000,5.000,1,849922.907,131362.227
567.499,5.000,5.000,1,849965.158,131360.466
568.502,5.000,5.000,1,849995.621,131281.882
569.493,5.000,5.000,1,849671.739,131276.073
570.499,5.000,4.971,1,849610.356,131084.134
571.509,5.000,4.900,1,849145.581,131071.794
572.509,5.000,4.900,1,849268.610,131073.083
573.499,5.000,4.900,1,849383.593,131046.375
574.503,5.000,4.886,1,849089.293,131000.041
575.494,5.000,4.800,1,849097.177,131081.934
576.503,5.000,4.800,1,849129.964,131201.324
577.504,5.000,4.800,1,849467.346,131294.691
578.499,5.000,4.806,1,849704.097,131269.785
